"ID","Designator","Name","Footprint","Quantity","Supplier Part Number"
"1","C5,C7","100nF ±10% 50V","0805","2","C476766"
"2","C14","680u","插件","1",""
"3","D1","1kV 1A Diode","MBS","1","C2488"
"4","D4","40V 5A Diode","SMA","1","C379833"
"5","L2","330uH ±20% 1.35A","SMD,12.5x12.5mm","1","C5127589"
"6","Q4","NPN 3A 50V","SOT-89-3","1","C358518"
"7","R5,R6","56kΩ","1206","2",""
"8","R7,R15","2kΩ ±1%","0603","2",""
"9","R9,R13,R27,R28","2kΩ ±1%","0603","4",""
"10","U3","AMS1117-1.5","SOT-223-3L","1","C16197303"
"11","max1,max2","MAX6675ISA","SOIC-8","2","C16030"
"12","U7","Terminal","插件","1","C3029543"
"13","U8","Terminal","插件","1","C3029543"
"14","U19","LM2596HV Buck Regulator","TO-263-5","1","C42451378"
"15","ENCODER","Encoder 1x5P","插件,P=2.54mm","1","C6332198"
"16","ToHeater,ToSolder,VIn","HDR-F-2.54_2x4","插件","3",""
"17","C17,C18","330pF ±5% 100V","1206","2","C20617886"
"18","U21","ATMEGA644A-AU","TQFP-44(10x10)","1","C1337475"
"19","UPGrADE","Header 1x5P","插件,P=2.54mm","1","C6332198"
"20","U23","Header 1x5P","插件,P=2.54mm","1","C6332198"
"21","U9","Terminal","插件","1","C3029543"
"22","LED4,LED5,LED6","Green/Yellow LED","插件,D=3mm","3","C282136"
"23","SCREW2×4","Screw Hole M2","插件","4",""
"24","OLED1","128x64 OLED 1.54\" SPI","-","1","C7465997"
"25","C15","220uF","SMD,5x5.4mm","1",""
"26","R29","10kΩ","1206","1",""
"27","R8,R26","2.2kΩ","Through","2",""
"28","R10","1kΩ","1206","1",""
"29","C6,C8","100uF ±20% 50V","插件,D8xL12mm","2","C2749"
"30","X2","8MHz Crystal","HC-49S","1",""
"31","C20","100nF 50V","插件,P=5.08mm","1","C254094"
"32","C9,C10","100uF ±20% 16V","插件,D5xL7mm","2","C43803"
"33","Q3","BT136 Triac","TO-220","1","C98796"
"34","U6","DC Input","DIP-4","1","C695830"
"35","Optotiac","MOC3020","DIP-6","1","C6177900"
"36","atriny13","ATTINY13A-PU","DIP-8","1","C94341"
"37","R25","10kΩ","1206","1",""
"38","Q5","N-MOSFET 27A 100V","TO-220AB","1","C3290454"
"39","C16","1000uF ±20% 35V","插件,D13xL21mm","1","C47344179"
